,player_name,class_name,matches_played,innings_bowled_in,balls_bowled,runs_conceded,wickets_taken,best_innings_bowling,best_match_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wkts_in_an_inns,five_wkts_in_an_inns,ten_wkts_in_a_match
1876,585100,ODIs,3,-,-,-,-,-,-,-,-,-,-,-,-
1877,585100,T20Is,6,-,-,-,-,-,-,-,-,-,-,-,-
1878,585100,List A,9,-,-,-,-,-,-,-,-,-,-,-,-
1879,585100,T20s,13,-,-,-,-,-,-,-,-,-,-,-,-
1880,281653,ODIs,18,-,-,-,-,-,-,-,-,-,-,-,-
1881,281653,T20Is,1,-,-,-,-,-,-,-,-,-,-,-,-
1882,281653,First-class,49,5,102,50,1,1/19,1/19,50.00,2.94,102.0,0,0,0
1883,281653,List A,51,-,-,-,-,-,-,-,-,-,-,-,-
1884,281653,T20s,7,-,-,-,-,-,-,-,-,-,-,-,-
1885,245490,ODIs,25,25,1325,914,25,4/37,4/37,36.56,4.13,53.0,1,0,0
1886,245490,T20Is,24,23,464,528,12,2/18,2/18,44.00,6.82,38.6,0,0,0
1887,245490,First-class,20,34,4126,1741,67,7/37,8/106,25.98,2.53,61.5,1,5,0
1888,245490,List A,79,79,3978,2587,104,5/29,5/29,24.87,3.90,38.2,3,1,0
1889,245490,T20s,40,39,777,826,25,3/11,3/11,33.04,6.37,31.0,0,0,0
1890,1126253,ODIs,9,9,449,382,11,3/19,3/19,34.72,5.10,40.8,0,0,0
1891,1126253,T20Is,4,4,84,103,6,2/16,2/16,17.16,7.35,14.0,0,0,0
1892,1126253,First-class,1,2,132,104,0,-,-,-,4.72,-,0,0,0
1893,1126253,List A,16,16,787,612,23,4/53,4/53,26.60,4.66,34.2,1,0,0
1894,1126253,T20s,4,4,84,103,6,2/16,2/16,17.16,7.35,14.0,0,0,0
1895,25613,ODIs,15,15,618,608,9,3/60,3/60,67.55,5.90,68.6,0,0,0
1896,25613,T20Is,22,22,446,560,33,3/12,3/12,16.96,7.53,13.5,0,0,0
1897,25613,First-class,15,21,1732,911,34,4/48,5/71,26.79,3.15,50.9,3,0,0
1898,25613,List A,81,76,3066,2524,78,6/50,6/50,32.35,4.93,39.3,2,1,0
1899,25613,T20s,37,34,614,731,40,3/12,3/12,18.27,7.14,15.3,0,0,0
1900,663413,T20Is,4,-,-,-,-,-,-,-,-,-,-,-,-
1901,663413,List A,3,-,-,-,-,-,-,-,-,-,-,-,-
1902,663413,T20s,5,1,18,24,0,-,-,-,8.00,-,0,0,0
1903,39940,ODIs,16,7,223,185,4,2/55,2/55,46.25,4.97,55.7,0,0,0
1904,39940,T20Is,6,1,12,14,1,1/14,1/14,14.00,7.00,12.0,0,0,0
1905,39940,First-class,18,,290,143,7,2/19,4/53,20.42,2.95,41.4,0,0,0
1906,39940,List A,49,,470,435,10,2/5,2/5,43.50,5.55,47.0,0,0,0
1907,39940,T20s,24,8,132,181,8,2/23,2/23,22.62,8.22,16.5,0,0,0
1908,1061752,T20Is,1,1,24,43,0,-,-,-,10.75,-,0,0,0
1909,1061752,List A,2,2,72,47,1,1/11,1/11,47.00,3.91,72.0,0,0,0
1910,1061752,T20s,1,1,24,43,0,-,-,-,10.75,-,0,0,0
1911,534734,ODIs,11,-,-,-,-,-,-,-,-,-,-,-,-
1912,534734,T20Is,1,-,-,-,-,-,-,-,-,-,-,-,-
1913,534734,First-class,2,-,-,-,-,-,-,-,-,-,-,-,-
1914,534734,List A,19,-,-,-,-,-,-,-,-,-,-,-,-
1915,534734,T20s,1,-,-,-,-,-,-,-,-,-,-,-,-
1916,1126002,ODIs,2,-,-,-,-,-,-,-,-,-,-,-,-
1917,1126002,List A,2,-,-,-,-,-,-,-,-,-,-,-,-
1918,40170,ODIs,3,3,162,121,0,-,-,-,4.48,-,0,0,0
1919,40170,T20Is,1,1,18,29,1,1/29,1/29,29.00,9.66,18.0,0,0,0
1920,40170,First-class,6,10,1351,629,20,4/75,7/152,31.45,2.79,67.5,1,0,0
1921,40170,List A,25,,1100,754,28,6/24,6/24,26.92,4.11,39.2,1,1,0
1922,40170,T20s,8,6,108,121,7,3/18,3/18,17.28,6.72,15.4,0,0,0
1923,950303,ODIs,23,-,-,-,-,-,-,-,-,-,-,-,-
1924,950303,T20Is,12,-,-,-,-,-,-,-,-,-,-,-,-
1925,950303,List A,42,-,-,-,-,-,-,-,-,-,-,-,-
1926,950303,T20s,14,-,-,-,-,-,-,-,-,-,-,-,-
1927,943275,ODIs,20,20,943,841,32,4/25,4/25,26.28,5.35,29.4,2,0,0
1928,943275,T20Is,9,9,168,221,7,1/16,1/16,31.57,7.89,24.0,0,0,0
1929,943275,First-class,9,12,1177,654,21,6/132,6/132,31.14,3.33,56.0,1,1,0
1930,943275,List A,32,32,1513,1300,47,4/25,4/25,27.65,5.15,32.1,2,0,0
1931,943275,T20s,10,10,180,238,8,1/16,1/16,29.75,7.93,22.5,0,0,0
1932,290645,ODIs,12,11,418,431,7,3/45,3/45,61.57,6.18,59.7,0,0,0
1933,290645,List A,21,18,642,629,13,3/45,3/45,48.38,5.87,49.3,0,0,0
1934,290645,T20s,1,1,12,28,0,-,-,-,14.00,-,0,0,0
1935,1125867,ODIs,9,1,12,10,0,-,-,-,5.00,-,0,0,0
1936,1125867,T20Is,5,1,6,13,1,1/13,1/13,13.00,13.00,6.0,0,0,0
1937,1125867,List A,12,1,12,10,0,-,-,-,5.00,-,0,0,0
1938,1125867,T20s,5,1,6,13,1,1/13,1/13,13.00,13.00,6.0,0,0,0
1939,533862,ODIs,39,39,1938,1757,53,5/28,5/28,33.15,5.43,36.5,0,1,0
1940,533862,T20Is,28,28,616,638,35,3/14,3/14,18.22,6.21,17.6,0,0,0
1941,533862,First-class,7,9,1012,564,16,4/78,6/121,35.25,3.34,63.2,1,0,0
1942,533862,List A,80,80,3878,3199,114,5/28,5/28,28.06,4.94,34.0,2,1,0
1943,533862,T20s,38,38,833,919,48,3/14,3/14,19.14,6.61,17.3,0,0,0
1944,738445,ODIs,6,6,240,233,9,4/26,4/26,25.88,5.82,26.6,1,0,0
1945,738445,T20Is,20,19,289,411,13,3/34,3/34,31.61,8.53,22.2,0,0,0
1946,738445,First-class,2,1,18,10,0,-,-,-,3.33,-,0,0,0
1947,738445,List A,19,17,639,569,22,4/26,4/26,25.86,5.34,29.0,2,0,0
1948,738445,T20s,23,21,325,456,13,3/34,3/34,35.07,8.41,25.0,0,0,0
1949,943281,ODIs,5,3,120,71,2,1/13,1/13,35.50,3.55,60.0,0,0,0
1950,943281,T20Is,3,1,6,8,0,-,-,-,8.00,-,0,0,0
1951,943281,First-class,1,-,-,-,-,-,-,-,-,-,-,-,-
1952,943281,List A,12,7,295,190,7,2/29,2/29,27.14,3.86,42.1,0,0,0
1953,943281,T20s,3,1,6,8,0,-,-,-,8.00,-,0,0,0
1954,1061514,T20Is,1,1,24,49,0,-,-,-,12.25,-,0,0,0
