team_1_name,team_2_name,team_1_score,team_2_score,win_commnet,team_1_fall_of_wickets,team_2_fall_of_wickets,series_name,Toss_details,Player_Of_The_Match,Match_number,Season
Australia,Zimbabwe,262/6,171 (46.2/50 ov),Australia won by 91 runs,"Fall of wickets: 1-61 (Brad Haddin, 18.5 ov), 2-140 (Shane Watson, 31.2 ov), 3-144 (Ricky Ponting, 32.5 ov), 4-207 (Cameron White, 44.6 ov), 5-241 (David Hussey, 48.1 ov), 6-254 (Steven Smith, 49.1 ov)","Fall of wickets: 1-22 (Charles Coventry, 5.4 ov), 2-40 (Tatenda Taibu, 10.3 ov), 3-40 (Brendan Taylor, 11.2 ov), 4-44 (Craig Ervine, 12.3 ov), 5-88 (Elton Chigumbura, 21.2 ov), 6-96 (Sean Williams, 24.6 ov), 7-104 (Regis Chakabva, 27.2 ov), 8-153 (Prosper Utseya, 39.2 ov), 9-167 (Graeme Cremer, 42.4 ov), 10-171 (Chris Mpofu, 46.2 ov)",World Cup,"Australia , elected to bat first",Shane Watson,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
Netherlands,England,292/6,296/4 (48.4/50 ov),England won by 6 wickets (with 8 balls remaining),"Fall of wickets: 1-36 (Alexei Kervezee, 6.2 ov), 2-58 (Wesley Barresi, 11.4 ov), 3-136 (Tom Cooper, 28.1 ov), 4-149 (Bas Zuiderent, 32.5 ov), 5-213 (Tom de Grooth, 42.5 ov), 6-274 (Ryan ten Doeschate, 48.1 ov)","Fall of wickets: 1-105 (Kevin Pietersen, 17.4 ov), 2-166 (Andrew Strauss, 29.2 ov), 3-224 (Jonathan Trott, 40.1 ov), 4-241 (Ian Bell, 42.6 ov)",World Cup,"Netherlands , elected to bat first",Ryan ten Doeschate,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
Pakistan,Kenya,317/7,112 (33.1/50 ov),Pakistan won by 205 runs,"Fall of wickets: 1-11 (Mohammad Hafeez, 5.3 ov), 2-12 (Ahmed Shehzad, 6.5 ov), 3-110 (Kamran Akmal, 24.4 ov), 4-155 (Younis Khan, 33.4 ov), 5-273 (Misbah-ul-Haq, 46.5 ov), 6-289 (Umar Akmal, 48.2 ov), 7-289 (Shahid Afridi, 48.3 ov)","Fall of wickets: 1-37 (Seren Waters, 9.1 ov), 2-43 (Morris Ouma, 12.2 ov), 3-73 (Steve Tikolo, 22.2 ov), 4-79 (Tanmay Mishra, 26.3 ov), 5-85 (Rakep Patel, 27.5 ov), 6-87 (Jimmy Kamande, 28.3 ov), 7-101 (Thomas Odoyo, 30.5 ov), 8-112 (Collins Obuya, 32.1 ov), 9-112 (Nehemiah Odhiambo, 32.5 ov), 10-112 (Shem Ngoche, 33.1 ov)",World Cup,"Pakistan , elected to bat first",Umar Akmal,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
West Indies,South Africa,222,223/3 (42.5/50 ov),South Africa won by 7 wickets (with 43 balls remaining),"Fall of wickets: 1-2 (Chris Gayle, 0.3 ov), 2-113 (Darren Bravo, 23.1 ov), 3-117 (Devon Smith, 24.4 ov), 4-120 (Ramnaresh Sarwan, 26.1 ov), 5-178 (Dwayne Bravo, 37.5 ov), 6-209 (Shivnarine Chanderpaul, 42.2 ov), 7-213 (Kieron Pollard, 43.3 ov), 8-213 (Devon Thomas, 44.6 ov), 9-213 (Darren Sammy, 45.1 ov), 10-222 (Sulieman Benn, 47.3 ov)","Fall of wickets: 1-15 (Hashim Amla, 3.3 ov), 2-20 (Jacques Kallis, 4.6 ov), 3-139 (Graeme Smith, 28.3 ov)",World Cup,"South Africa , elected to field first",AB de Villiers,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
New Zealand,Australia,206,207/3 (34/50 ov),Australia won by 7 wickets (with 96 balls remaining),"Fall of wickets: 1-20 (Brendon McCullum, 3.4 ov), 2-40 (Martin Guptill, 8.5 ov), 3-66 (Jesse Ryder, 13.2 ov), 4-66 (James Franklin, 13.5 ov), 5-67 (Scott Styris, 14.4 ov), 6-73 (Ross Taylor, 16.6 ov), 7-121 (Jamie How, 28.6 ov), 8-175 (Nathan McCullum, 41.2 ov), 9-206 (Daniel Vettori, 44.6 ov), 10-206 (Tim Southee, 45.1 ov)","Fall of wickets: 1-133 (Brad Haddin, 18.1 ov), 2-136 (Shane Watson, 18.3 ov), 3-167 (Ricky Ponting, 26.4 ov)",World Cup,"Australia , elected to field first",Mitchell Johnson,2010/11,"09.30 start, First Session 09.30-13.00, Interval 13.00-13.45, Second Session 13.45-17.15"
Bangladesh,Ireland,205,178 (45/50 ov),Bangladesh won by 27 runs,"Fall of wickets: 1-53 (Imrul Kayes, 6.3 ov), 2-61 (Junaid Siddique, 8.5 ov), 3-68 (Tamim Iqbal, 11.1 ov), 4-86 (Shakib Al Hasan, 15.2 ov), 5-147 (Mushfiqur Rahim, 33.3 ov), 6-151 (Mohammad Ashraful, 35.2 ov), 7-159 (Raqibul Hasan, 38.1 ov), 8-170 (Shafiul Islam, 42.3 ov), 9-193 (Abdur Razzak, 47.6 ov), 10-205 (Naeem Islam, 49.2 ov)","Fall of wickets: 1-23 (Paul Stirling, 5.3 ov), 2-36 (William Porterfield, 9.1 ov), 3-75 (Ed Joyce, 18.1 ov), 4-93 (Andrew White, 24.4 ov), 5-110 (Niall O'Brien, 27.4 ov), 6-151 (Kevin O'Brien, 36.4 ov), 7-164 (John Mooney, 39.4 ov), 8-168 (Andre Botha, 40.1 ov), 9-171 (Trent Johnston, 42.1 ov), 10-178 (Boyd Rankin, 44.6 ov)",World Cup,"Bangladesh , elected to bat first",Tamim Iqbal,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
Pakistan,Sri Lanka,277/7,266/9 (50 ov),Pakistan won by 11 runs,"Fall of wickets: 1-28 (Ahmed Shehzad, 5.3 ov), 2-76 (Mohammad Hafeez, 13.1 ov), 3-105 (Kamran Akmal, 20.2 ov), 4-213 (Younis Khan, 40.5 ov), 5-238 (Umar Akmal, 45.3 ov), 6-267 (Shahid Afridi, 48.5 ov), 7-277 (Abdul Razzaq, 49.6 ov)","Fall of wickets: 1-76 (Upul Tharanga, 14.2 ov), 2-88 (Tillakaratne Dilshan, 17.3 ov), 3-95 (Mahela Jayawardene, 20.2 ov), 4-96 (Thilan Samaraweera, 21.2 ov), 5-169 (Kumar Sangakkara, 37.4 ov), 6-209 (Angelo Mathews, 43.4 ov), 7-232 (Thisara Perera, 45.5 ov), 8-233 (Chamara Silva, 46 ov), 9-265 (Nuwan Kulasekara, 49.5 ov)",World Cup,"Pakistan , elected to bat first",Shahid Afridi,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
India,England,338,338/8 (50 ov),Match tied,"Fall of wickets: 1-46 (Virender Sehwag, 7.5 ov), 2-180 (Gautam Gambhir, 29.4 ov), 3-236 (Sachin Tendulkar, 38.2 ov), 4-305 (Yuvraj Singh, 45.6 ov), 5-305 (MS Dhoni, 46.1 ov), 6-327 (Yusuf Pathan, 48.1 ov), 7-327 (Virat Kohli, 48.2 ov), 8-328 (Harbhajan Singh, 48.4 ov), 9-338 (Piyush Chawla, 49.4 ov), 10-338 (Zaheer Khan, 49.5 ov)","Fall of wickets: 1-68 (Kevin Pietersen, 9.3 ov), 2-111 (Jonathan Trott, 16.4 ov), 3-281 (Ian Bell, 42.4 ov), 4-281 (Andrew Strauss, 42.5 ov), 5-285 (Paul Collingwood, 44.3 ov), 6-289 (Matt Prior, 45.2 ov), 7-307 (Michael Yardy, 47.3 ov), 8-325 (Tim Bresnan, 48.6 ov)",World Cup,"India , elected to bat first",Andrew Strauss,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
Zimbabwe,Canada,298/9,123 (42.1/50 ov),Zimbabwe won by 175 runs,"Fall of wickets: 1-0 (Brendan Taylor, 0.1 ov), 2-7 (Charles Coventry, 3.3 ov), 3-188 (Craig Ervine, 31.2 ov), 4-193 (Elton Chigumbura, 32.4 ov), 5-201 (Tatenda Taibu, 33.6 ov), 6-219 (Greg Lamb, 37.4 ov), 7-240 (Sean Williams, 41.4 ov), 8-281 (Prosper Utseya, 47.4 ov), 9-284 (Graeme Cremer, 48.2 ov)","Fall of wickets: 1-1 (John Davison, 1.3 ov), 2-7 (Nitish Kumar, 5.3 ov), 3-7 (Ashish Bagai, 5.4 ov), 4-50 (Jimmy Hansra, 20.3 ov), 5-50 (Ruvindu Gunasekera, 21.1 ov), 6-66 (Rizwan Cheema, 22.5 ov), 7-78 (Tyson Gordon, 26.6 ov), 8-97 (Khurram Chohan, 34.3 ov), 9-122 (Zubin Surkari, 41.1 ov), 10-123 (Balaji Rao, 42.1 ov)",World Cup,"Zimbabwe , elected to bat first",Tatenda Taibu,2010/11,"09.30 start, First Session 09.30-13.00, Interval 13.00-13.45, Second Session 13.45-17.15"
West Indies,Netherlands,330/8,115 (31.3/50 ov),West Indies won by 215 runs,"Fall of wickets: 1-100 (Devon Smith, 16.3 ov), 2-168 (Darren Bravo, 31.2 ov), 3-196 (Chris Gayle, 36.2 ov), 4-261 (Ramnaresh Sarwan, 42.1 ov), 5-278 (Darren Sammy, 43.4 ov), 6-290 (Shivnarine Chanderpaul, 45.4 ov), 7-312 (Kieron Pollard, 47.5 ov), 8-326 (Devon Thomas, 49.4 ov)","Fall of wickets: 1-2 (Wesley Barresi, 1.4 ov), 2-26 (Alexei Kervezee, 6.4 ov), 3-34 (Ryan ten Doeschate, 8.1 ov), 4-35 (Bas Zuiderent, 9.3 ov), 5-36 (Tom de Grooth, 10.2 ov), 6-56 (Peter Borren, 18.2 ov), 7-113 (Mudassar Bukhari, 29.4 ov), 8-115 (Pieter Seelaar, 31.1 ov), 9-115 (Bernard Loots, 31.2 ov), 10-115 (Berend Westdijk, 31.3 ov)",World Cup,"Netherlands , elected to field first",Kemar Roach,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
Kenya,Sri Lanka,142,146/1 (18.4/50 ov),Sri Lanka won by 9 wickets (with 188 balls remaining),"Fall of wickets: 1-4 (Morris Ouma, 1.2 ov), 2-8 (Seren Waters, 2.1 ov), 3-102 (Collins Obuya, 31.4 ov), 4-120 (Steve Tikolo, 36.2 ov), 5-127 (David Obuya, 40.1 ov), 6-128 (Jimmy Kamande, 41.1 ov), 7-137 (Tanmay Mishra, 41.6 ov), 8-137 (Peter Ongondo, 43.1 ov), 9-137 (Shem Ngoche, 43.2 ov), 10-142 (Elijah Otieno, 43.4 ov)","Fall of wickets: 1-72 (Tillakaratne Dilshan, 8.2 ov)",World Cup,"Kenya , elected to bat first",Lasith Malinga,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
England,Ireland,327/8,329/7 (49.1/50 ov),Ireland won by 3 wickets (with 5 balls remaining),"Fall of wickets: 1-91 (Andrew Strauss, 13.3 ov), 2-111 (Kevin Pietersen, 16.6 ov), 3-278 (Ian Bell, 42.6 ov), 4-288 (Jonathan Trott, 44.3 ov), 5-299 (Matt Prior, 45.6 ov), 6-312 (Paul Collingwood, 46.6 ov), 7-317 (Michael Yardy, 48.3 ov), 8-327 (Tim Bresnan, 49.6 ov)","Fall of wickets: 1-0 (William Porterfield, 0.1 ov), 2-62 (Paul Stirling, 9.5 ov), 3-103 (Niall O'Brien, 20.2 ov), 4-106 (Ed Joyce, 22.2 ov), 5-111 (Gary Wilson, 24.2 ov), 6-273 (Alex Cusack, 41.3 ov), 7-317 (Kevin O'Brien, 48.1 ov)",World Cup,"England , elected to bat first",Kevin O'Brien,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
South Africa,Netherlands,351/5,120 (34.5/50 ov),South Africa won by 231 runs,"Fall of wickets: 1-51 (Graeme Smith, 12.5 ov), 2-58 (Jacques Kallis, 15.3 ov), 3-279 (Hashim Amla, 44.5 ov), 4-283 (AB de Villiers, 45.4 ov), 5-349 (Jean-Paul Duminy, 49.5 ov)","Fall of wickets: 1-26 (Alexei Kervezee, 5.1 ov), 2-46 (Tom Cooper, 11.5 ov), 3-81 (Bas Zuiderent, 21.3 ov), 4-83 (Wesley Barresi, 22.4 ov), 5-100 (Ryan ten Doeschate, 27.5 ov), 6-109 (Peter Borren, 31.4 ov), 7-109 (Tom de Grooth, 32.1 ov), 8-110 (Mudassar Bukhari, 32.3 ov), 9-120 (Bernard Loots, 34.3 ov), 10-120 (Berend Westdijk, 34.5 ov)",World Cup,"Netherlands , elected to field first",AB de Villiers,2010/11,"09.30 start, First Session 09.30-13.00, Interval 13.00-13.45, Second Session 13.45-17.15"
Pakistan,Canada,184,138 (42.5/50 ov),Pakistan won by 46 runs,"Fall of wickets: 1-16 (Mohammad Hafeez, 3.1 ov), 2-42 (Ahmed Shehzad, 8.5 ov), 3-55 (Younis Khan, 12.5 ov), 4-67 (Kamran Akmal, 15.3 ov), 5-140 (Umar Akmal, 34.6 ov), 6-165 (Misbah-ul-Haq, 38.2 ov), 7-181 (Shahid Afridi, 40.5 ov), 8-181 (Abdul Razzaq, 41.1 ov), 9-181 (Wahab Riaz, 41.4 ov), 10-184 (Saeed Ajmal, 42.6 ov)","Fall of wickets: 1-16 (Ruvindu Gunasekera, 3.6 ov), 2-16 (Nitish Kumar, 4.5 ov), 3-44 (Ashish Bagai, 17.1 ov), 4-104 (Zubin Surkari, 33.3 ov), 5-111 (Rizwan Cheema, 34.6 ov), 6-114 (Jimmy Hansra, 36.4 ov), 7-114 (Harvir Baidwan, 36.5 ov), 8-130 (Tyson Gordon, 38.4 ov), 9-134 (Balaji Rao, 41.4 ov), 10-138 (Henry Osinde, 42.5 ov)",World Cup,"Pakistan , elected to bat first",Shahid Afridi,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
Zimbabwe,New Zealand,162,166/0 (33.3/50 ov),New Zealand won by 10 wickets (with 99 balls remaining),"Fall of wickets: 1-2 (Charles Coventry, 1.2 ov), 2-27 (Tatenda Taibu, 7.4 ov), 3-42 (Craig Ervine, 12.6 ov), 4-46 (Elton Chigumbura, 14.1 ov), 5-46 (Regis Chakabva, 14.3 ov), 6-86 (Brendan Taylor, 23.1 ov), 7-89 (Greg Lamb, 26.6 ov), 8-122 (Graeme Cremer, 36.6 ov), 9-157 (Ray Price, 44.1 ov), 10-162 (Prosper Utseya, 46.2 ov)","Did not bat: JD Ryder, LRPL Taylor, JEC Franklin, SB Styris, NL McCullum, DL Vettori (c), KD Mills, TG Southee, HK Bennett",World Cup,"Zimbabwe , elected to bat first",Martin Guptill,2010/11,"09.30 start, First Session 09.30-13.00, Interval 13.00-13.45, Second Session 13.45-17.15"
Bangladesh,West Indies,58,59/1 (12.2/50 ov),West Indies won by 9 wickets (with 226 balls remaining),"Fall of wickets: 1-0 (Tamim Iqbal, 0.3 ov), 2-16 (Imrul Kayes, 3.3 ov), 3-25 (Mushfiqur Rahim, 5.1 ov), 4-36 (Junaid Siddique, 8.2 ov), 5-41 (Shakib Al Hasan, 10.2 ov), 6-51 (Raqibul Hasan, 13.6 ov), 7-56 (Naeem Islam, 16.2 ov), 8-56 (Mohammad Ashraful, 17.1 ov), 9-58 (Shafiul Islam, 18.3 ov), 10-58 (Rubel Hossain, 18.5 ov)","Fall of wickets: 1-29 (Devon Smith, 5.1 ov)",World Cup,"Bangladesh , elected to bat first",Kemar Roach,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
England,South Africa,171,165 (47.4/50 ov),England won by 6 runs,"Fall of wickets: 1-1 (Andrew Strauss, 0.3 ov), 2-3 (Kevin Pietersen, 0.6 ov), 3-15 (Ian Bell, 4.4 ov), 4-114 (Jonathan Trott, 29.5 ov), 5-134 (Matt Prior, 35.3 ov), 6-148 (Ravi Bopara, 39.3 ov), 7-149 (Tim Bresnan, 40.1 ov), 8-161 (Michael Yardy, 43.2 ov), 9-161 (Stuart Broad, 43.5 ov), 10-171 (Graeme Swann, 45.4 ov)","Fall of wickets: 1-63 (Graeme Smith, 14.1 ov), 2-75 (Hashim Amla, 17.3 ov), 3-82 (Jacques Kallis, 19.2 ov), 4-124 (AB de Villiers, 31.6 ov), 5-124 (Faf du Plessis, 32.2 ov), 6-124 (Jean-Paul Duminy, 33.4 ov), 7-127 (Robin Peterson, 36.6 ov), 8-160 (Morne van Wyk, 46.2 ov), 9-164 (Dale Steyn, 47.1 ov), 10-165 (Morne Morkel, 47.4 ov)",World Cup,"England , elected to bat first",Ravi Bopara,2010/11,"09.30 start, First Session 09.30-13.00, Interval 13.00-13.45, Second Session 13.45-17.15"
Ireland,India,207,210/5 (46/50 ov),India won by 5 wickets (with 24 balls remaining),"Fall of wickets: 1-1 (Paul Stirling, 0.4 ov), 2-9 (Ed Joyce, 2.3 ov), 3-122 (Niall O'Brien, 26.5 ov), 4-129 (Andrew White, 29.1 ov), 5-147 (Kevin O'Brien, 33.4 ov), 6-160 (William Porterfield, 37.1 ov), 7-178 (John Mooney, 41.5 ov), 8-184 (Alex Cusack, 43.4 ov), 9-201 (George Dockrell, 46.6 ov), 10-207 (Trent Johnston, 47.5 ov)","Fall of wickets: 1-9 (Virender Sehwag, 1.1 ov), 2-24 (Gautam Gambhir, 5.2 ov), 3-87 (Sachin Tendulkar, 20.1 ov), 4-100 (Virat Kohli, 23.4 ov), 5-167 (MS Dhoni, 40.1 ov)",World Cup,"India , elected to field first",Yuvraj Singh,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
Kenya,Canada,198,199/5 (45.3/50 ov),Canada won by 5 wickets (with 27 balls remaining),"Fall of wickets: 1-0 (Morris Ouma, 0.2 ov), 2-7 (Seren Waters, 4.5 ov), 3-21 (David Obuya, 6.6 ov), 4-41 (Collins Obuya, 11.3 ov), 5-57 (Steve Tikolo, 14.6 ov), 6-109 (Jimmy Kamande, 29.2 ov), 7-166 (Tanmay Mishra, 42.1 ov), 8-171 (Nehemiah Odhiambo, 43.6 ov), 9-193 (Elijah Otieno, 48.6 ov), 10-198 (Thomas Odoyo, 49.6 ov)","Fall of wickets: 1-19 (Rizwan Cheema, 3.4 ov), 2-37 (Zubin Surkari, 9.5 ov), 3-48 (Ruvindu Gunasekera, 11 ov), 4-180 (Jimmy Hansra, 42.5 ov), 5-186 (Tyson Gordon, 44.5 ov)",World Cup,"Kenya , elected to bat first",Henry Osinde,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
New Zealand,Pakistan,302/7,192 (41.4/50 ov),New Zealand won by 110 runs,"Fall of wickets: 1-8 (Brendon McCullum, 0.4 ov), 2-55 (Jamie How, 12.3 ov), 3-112 (Martin Guptill, 28.5 ov), 4-113 (James Franklin, 29.1 ov), 5-175 (Scott Styris, 41.6 ov), 6-210 (Nathan McCullum, 45.5 ov), 7-295 (Jacob Oram, 49.3 ov)","Fall of wickets: 1-5 (Mohammad Hafeez, 1.2 ov), 2-23 (Ahmed Shehzad, 6.1 ov), 3-23 (Younis Khan, 6.4 ov), 4-23 (Kamran Akmal, 7.1 ov), 5-45 (Misbah-ul-Haq, 14.4 ov), 6-66 (Shahid Afridi, 17.1 ov), 7-102 (Umar Akmal, 28.3 ov), 8-125 (Abdur Rehman, 32.4 ov), 9-191 (Abdul Razzaq, 41.1 ov), 10-192 (Shoaib Akhtar, 41.4 ov)",World Cup,"New Zealand , elected to bat first",Ross Taylor,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
Netherlands,India,189,191/5 (36.3/50 ov),India won by 5 wickets (with 81 balls remaining),"Fall of wickets: 1-56 (Eric Szwarczynski, 15.2 ov), 2-64 (Wesley Barresi, 18.6 ov), 3-99 (Ryan ten Doeschate, 28.2 ov), 4-100 (Tom Cooper, 29.1 ov), 5-101 (Bas Zuiderent, 30.6 ov), 6-108 (Tom de Grooth, 34.2 ov), 7-127 (Alexei Kervezee, 38.1 ov), 8-151 (Bradley Kruger, 42.2 ov), 9-189 (Peter Borren, 46.1 ov), 10-189 (Mudassar Bukhari, 46.4 ov)","Fall of wickets: 1-69 (Virender Sehwag, 7.3 ov), 2-80 (Sachin Tendulkar, 9.1 ov), 3-82 (Yusuf Pathan, 9.5 ov), 4-99 (Virat Kohli, 14.3 ov), 5-139 (Gautam Gambhir, 23.1 ov)",World Cup,"Netherlands , elected to bat first",Yuvraj Singh,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
Sri Lanka,Zimbabwe,327/6,188 (39/50 ov),Sri Lanka won by 139 runs,"Fall of wickets: 1-282 (Upul Tharanga, 44.4 ov), 2-289 (Tillakaratne Dilshan, 45.4 ov), 3-296 (Thisara Perera, 46.3 ov), 4-300 (Mahela Jayawardene, 47.1 ov), 5-302 (Angelo Mathews, 47.3 ov), 6-308 (Chamara Silva, 47.6 ov)","Fall of wickets: 1-116 (Regis Chakabva, 19.5 ov), 2-125 (Tatenda Taibu, 22.1 ov), 3-132 (Brendan Taylor, 24.1 ov), 4-150 (Prosper Utseya, 27.3 ov), 5-156 (Craig Ervine, 29.3 ov), 6-156 (Greg Lamb, 29.4 ov), 7-165 (Elton Chigumbura, 31.5 ov), 8-185 (Ray Price, 36.5 ov), 9-185 (Tinashe Panyangara, 37.4 ov), 10-188 (Chris Mpofu, 38.6 ov)",World Cup,"Zimbabwe , elected to field first",Tillakaratne Dilshan,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
West Indies,Ireland,275,231 (49/50 ov),West Indies won by 44 runs,"Fall of wickets: 1-89 (Shivnarine Chanderpaul, 24.2 ov), 2-89 (Darren Bravo, 24.5 ov), 3-130 (Ramnaresh Sarwan, 31.6 ov), 4-218 (Devon Smith, 42.3 ov), 5-222 (Darren Sammy, 42.6 ov), 6-228 (Devon Thomas, 44.6 ov), 7-267 (Kieron Pollard, 48.1 ov), 8-267 (Andre Russell, 48.2 ov), 9-272 (Sulieman Benn, 49.2 ov), 10-275 (Kemar Roach, 49.6 ov)","Fall of wickets: 1-6 (Paul Stirling, 1.4 ov), 2-42 (William Porterfield, 11.6 ov), 3-86 (Niall O'Brien, 20.6 ov), 4-177 (Ed Joyce, 37.3 ov), 5-187 (Kevin O'Brien, 39.4 ov), 6-199 (Gary Wilson, 41.4 ov), 7-199 (Alex Cusack, 42.2 ov), 8-201 (Andre Botha, 43.4 ov), 9-215 (John Mooney, 45.5 ov), 10-231 (George Dockrell, 48.6 ov)",World Cup,"Ireland , elected to field first",Kieron Pollard,2010/11,"09.30 start, First Session 09.30-13.00, Interval 13.00-13.45, Second Session 13.45-17.15"
England,Bangladesh,225,227/8 (49/50 ov),Bangladesh won by 2 wickets (with 6 balls remaining),"Fall of wickets: 1-32 (Matt Prior, 7 ov), 2-39 (Andrew Strauss, 10.3 ov), 3-53 (Ian Bell, 16.4 ov), 4-162 (Eoin Morgan, 38.4 ov), 5-182 (Jonathan Trott, 43.4 ov), 6-195 (Ravi Bopara, 44.5 ov), 7-209 (Graeme Swann, 46.4 ov), 8-215 (Tim Bresnan, 47.3 ov), 9-217 (Ajmal Shahzad, 48.1 ov), 10-225 (Paul Collingwood, 49.4 ov)","Fall of wickets: 1-52 (Tamim Iqbal, 8.4 ov), 2-70 (Junaid Siddique, 12.2 ov), 3-73 (Raqibul Hasan, 13.4 ov), 4-155 (Imrul Kayes, 30.6 ov), 5-162 (Shakib Al Hasan, 35.6 ov), 6-166 (Mushfiqur Rahim, 36.2 ov), 7-166 (Naeem Islam, 38.1 ov), 8-169 (Abdur Razzak, 39.4 ov)",World Cup,"Bangladesh , elected to field first",Imrul Kayes,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
India,South Africa,296,300/7 (49.4/50 ov),South Africa won by 3 wickets (with 2 balls remaining),"Fall of wickets: 1-142 (Virender Sehwag, 17.4 ov), 2-267 (Sachin Tendulkar, 39.4 ov), 3-268 (Gautam Gambhir, 40.1 ov), 4-268 (Yusuf Pathan, 40.3 ov), 5-283 (Yuvraj Singh, 42.6 ov), 6-286 (Virat Kohli, 43.6 ov), 7-293 (Harbhajan Singh, 46.5 ov), 8-294 (Zaheer Khan, 47.4 ov), 9-296 (Ashish Nehra, 48.3 ov), 10-296 (Munaf Patel, 48.4 ov)","Fall of wickets: 1-41 (Graeme Smith, 8.3 ov), 2-127 (Hashim Amla, 27.2 ov), 3-173 (Jacques Kallis, 35.4 ov), 4-223 (AB de Villiers, 40.3 ov), 5-238 (Jean-Paul Duminy, 42.3 ov), 6-247 (Morne van Wyk, 43.6 ov), 7-279 (Johan Botha, 47.5 ov)",World Cup,"India , elected to bat first",Dale Steyn,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
New Zealand,Canada,358/6,261/9 (50 ov),New Zealand won by 97 runs,"Fall of wickets: 1-53 (Martin Guptill, 9.5 ov), 2-149 (Jesse Ryder, 29.2 ov), 3-185 (Brendon McCullum, 36.4 ov), 4-254 (Ross Taylor, 40.5 ov), 5-259 (Nathan McCullum, 42.1 ov), 6-318 (Scott Styris, 47.6 ov)","Fall of wickets: 1-2 (Ruvindu Gunasekera, 2.1 ov), 2-4 (Zubin Surkari, 4.3 ov), 3-50 (Hiral Patel, 12.3 ov), 4-175 (Ashish Bagai, 36.6 ov), 5-179 (Rizwan Cheema, 38.1 ov), 5-185* (Jimmy Hansra, retired not out ), 6-205 (Balaji Rao, 42.5 ov), 7-213 (John Davison, 44.1 ov), 8-222 (Harvir Baidwan, 45.2 ov), 9-261 (Khurram Chohan, 49.4 ov)",World Cup,"Canada , elected to field first",Brendon McCullum,2010/11,"09.30 start, First Session 09.30-13.00, Interval 13.00-13.45, Second Session 13.45-17.15"
Australia,Kenya,324/6,264/6 (50 ov),Australia won by 60 runs,"Fall of wickets: 1-38 (Shane Watson, 7.2 ov), 2-127 (Brad Haddin, 24.4 ov), 3-131 (Ricky Ponting, 25.4 ov), 4-143 (Cameron White, 26.6 ov), 5-257 (Michael Hussey, 43.1 ov), 6-304 (Michael Clarke, 48.1 ov)","Fall of wickets: 1-12 (Morris Ouma, 2.5 ov), 2-21 (Alex Obanda, 3.6 ov), 3-46 (David Obuya, 9.4 ov), 4-161 (Tanmay Mishra, 35.3 ov), 5-247 (Thomas Odoyo, 47.3 ov), 6-263 (Rakep Patel, 49.4 ov)",World Cup,"Australia , elected to bat first",Collins Obuya,2010/11,"14.30 start, First Session 14.30-18.00, Interval 18.00-18.45, Second Session 18.45-22.15"
