player_name,class_name,matches_played,innings_batted,not_outs,runs_scored,highest_inns_score,batting_average,balls_faced,batting_strike_rate,hundreds_scored,fifties_scored,boundary_fours,boundary_sixes,catches_taken,stumpings_made
56025,First-class,105,188,17,5912,152,34.57,,,11,30,,,91,1
56025,List A,267,238,53,6732,130,36.38,,,7,38,,,102,0
56025,T20s,196,177,34,3448,64*,24.11,2916,118.24,0,11,266,111,88,0
56007,Tests,36,67,5,797,79,12.85,1186,67.2,0,3,95,22,9,0
56007,ODIs,216,155,27,1771,51*,13.83,2023,87.54,0,1,150,60,61,0
56007,T20Is,54,39,11,377,36,13.46,277,136.1,0,0,28,23,10,0
56007,First-class,57,100,7,1458,132*,15.67,,,1,6,,,24,0
56007,List A,301,222,35,3074,104,16.43,3309,92.89,1,8,,,92,0
56007,T20s,150,94,23,948,56*,13.35,734,129.15,0,1,64,56,31,0
629063,Tests,19,36,6,554,68*,18.46,1082,51.2,0,2,58,7,17,0
629063,ODIs,34,20,3,321,51,18.88,432,74.3,0,1,30,3,10,0
629063,T20Is,13,11,2,94,19*,10.44,80,117.5,0,0,7,4,7,0
629063,First-class,32,51,8,1093,80,25.41,1934,56.51,0,7,129,12,27,0
629063,List A,82,61,8,1109,52,20.92,1399,79.27,0,5,76,23,26,0
629063,T20s,52,42,8,389,51,11.44,348,111.78,0,1,38,10,22,0
269237,Tests,5,9,0,191,67,21.22,403,47.39,0,1,15,1,2,0
269237,ODIs,21,18,2,467,63,29.18,604,77.31,0,4,39,12,6,0
269237,T20Is,13,9,0,90,47,10,96,93.75,0,0,7,3,3,0
269237,First-class,93,149,6,4961,186,34.69,,,12,25,,,133,20
269237,List A,138,129,12,3991,100,34.11,4608,86.61,1,30,380,103,92,28
269237,T20s,110,93,14,1741,80,22.03,1490,116.84,0,8,113,71,38,15
629070,ODIs,19,11,3,262,51*,32.75,321,81.61,0,2,24,3,2,0
629070,T20Is,9,6,1,94,39*,18.8,88,106.81,0,0,7,3,2,0
629070,First-class,33,47,13,1256,100*,36.94,2692,46.65,1,9,147,12,18,0
629070,List A,70,45,12,921,68,27.9,1201,76.68,0,7,68,11,12,0
629070,T20s,49,25,10,214,39*,14.26,199,107.53,0,0,17,6,7,0
373696,Tests,35,65,4,2558,181,41.93,4526,56.51,8,12,292,7,25,0
373696,ODIs,28,26,1,557,60,22.28,749,74.36,0,3,60,1,4,0
373696,T20Is,6,4,1,60,26*,20,50,120,0,0,5,2,1,0
373696,First-class,95,166,8,6626,258,41.93,,,19,30,,,61,0
373696,List A,139,135,8,4024,182,31.68,4929,81.63,4,23,412,51,52,0
373696,T20s,89,77,9,1370,64,20.14,1224,111.92,0,7,142,29,29,0
550133,Tests,2,4,1,104,75,34.66,251,41.43,0,1,11,2,2,0
550133,ODIs,32,27,10,508,52*,29.88,569,89.27,0,2,51,11,13,0
550133,T20Is,8,8,1,113,34*,16.14,115,98.26,0,0,8,3,5,0
550133,First-class,36,56,6,2993,282,59.86,4602,65.03,11,11,282,84,26,0
550133,List A,108,99,30,2799,110,40.56,3223,86.84,3,17,220,63,46,0
550133,T20s,59,52,12,884,59*,22.1,803,110.08,0,1,74,25,21,0
56029,Tests,66,123,9,4006,219*,35.14,8540,46.9,6,19,478,30,102,15
56029,ODIs,212,198,33,5909,144,35.81,7488,78.91,7,35,472,81,176,44
56029,T20Is,77,69,12,1138,72*,19.96,955,119.16,0,4,98,28,31,28
56029,First-class,107,189,20,6007,219*,35.54,,,10,31,,,166,23
56029,List A,292,273,46,8799,145*,38.76,,,11,54,,,246,81
56029,T20s,169,155,29,3366,86,26.71,2648,127.11,0,19,279,98,88,43
330902,Tests,13,19,6,56,16,4.3,138,40.57,0,0,3,4,1,0
330902,ODIs,53,24,16,57,18*,7.12,117,48.71,0,0,6,0,9,0
330902,T20Is,30,13,5,27,8,3.37,45,60,0,0,1,2,6,0
330902,First-class,30,39,19,87,16,4.35,279,31.18,0,0,9,4,5,0
330902,List A,59,26,16,61,18*,6.1,127,48.03,0,0,6,0,9,0
330902,T20s,88,29,18,55,11*,5,94,58.51,0,0,2,4,18,0
932635,Tests,2,3,1,43,26,21.5,130,33.07,0,0,2,0,1,0
932635,First-class,18,21,4,278,43*,16.35,729,38.13,0,0,30,0,10,0
932635,List A,40,29,14,274,51*,18.26,456,60.08,0,1,19,0,22,0
932635,T20s,17,12,6,62,24*,10.33,92,67.39,0,0,3,1,5,0
629058,Tests,2,4,0,48,18,12,153,31.37,0,0,6,0,2,0
629058,ODIs,3,3,0,20,7,6.66,45,44.44,0,0,0,0,2,0
629058,First-class,35,58,3,2293,194,41.69,4234,54.15,6,10,287,8,26,0
629058,List A,92,90,12,2885,150*,36.98,3414,84.5,6,12,224,61,52,0
629058,T20s,40,36,3,583,54*,17.66,509,114.53,0,1,57,12,18,0
446810,Tests,1,2,0,4,4,2,16,25,0,0,1,0,0,0
446810,ODIs,5,1,0,7,7,7,13,53.84,0,0,0,0,2,0
446810,T20Is,13,4,3,18,7,18,17,105.88,0,0,2,0,2,0
446810,First-class,55,63,11,509,38,9.78,1152,44.18,0,0,60,6,26,0
446810,List A,86,46,16,211,22,7.03,361,58.44,0,0,13,1,31,0
446810,T20s,76,21,12,80,16,8.88,88,90.9,0,0,6,1,22,0
410765,Tests,3,6,0,115,64,19.16,186,61.82,0,1,11,2,5,3
410765,ODIs,2,2,0,68,44,34,70,97.14,0,0,4,2,2,1
410765,T20Is,9,8,4,78,30*,19.5,63,123.8,0,0,9,0,2,4
410765,First-class,76,116,16,3688,182*,36.88,5420,68.04,7,18,416,48,194,36
410765,List A,92,86,16,2378,108,33.97,2555,93.07,2,11,207,39,81,35
410765,T20s,76,68,20,994,79*,20.7,810,122.71,0,1,93,24,37,21
300619,Tests,26,45,19,259,45*,9.96,568,45.59,0,0,33,4,11,0
300619,ODIs,99,50,23,132,17,4.88,237,55.69,0,0,13,2,20,0
300619,T20Is,27,14,9,17,8*,3.4,30,56.66,0,0,1,0,1,0
300619,First-class,52,79,27,485,45*,9.32,,,0,0,,,17,0
300619,List A,168,92,40,335,45,6.44,507,66.07,0,0,26,9,42,0
300619,T20s,98,35,18,80,36,4.7,99,80.8,0,0,6,2,24,0
